Ticker	Name	Weight	Shares	Price
LYB UN Equity	LyondellBasell Industries NV	--	--	104.75
SBNY UW Equity	Signature Bank/New York NY	--	--	300.12
AXP UN Equity	American Express Co	--	--	173.55
VZ UN Equity	Verizon Communications Inc	--	--	52.62
AVGO UW Equity	Broadcom Inc	--	--	574.67
BA UN Equity	Boeing Co/The	--	--	176.78
CAT UN Equity	Caterpillar Inc	--	--	216.1
JPM UN Equity	JPMorgan Chase & Co	--	--	131.37
CVX UN Equity	Chevron Corp	--	--	166.02
KO UN Equity	Coca-Cola Co/The	--	--	58.36
ABBV UN Equity	AbbVie Inc	--	--	150.7
DIS UN Equity	Walt Disney Co/The	--	--	132.83
FLT UN Equity	FleetCor Technologies Inc	--	--	232.03
EXR UN Equity	Extra Space Storage Inc	--	--	193.25
XOM UN Equity	Exxon Mobil Corp	--	--	81.08
PSX UN Equity	Phillips 66	--	--	78.29
GE UN Equity	General Electric Co	--	--	93.54
HPQ UN Equity	HP Inc	--	--	35.23
HD UN Equity	Home Depot Inc/The	--	--	320.28
MPWR UW Equity	Monolithic Power Systems Inc	--	--	403.4
IBM UN Equity	International Business Machines Corp	--	--	123.47
JNJ UN Equity	Johnson & Johnson	--	--	171.85
MCD UN Equity	McDonald's Corp	--	--	228
MRK UN Equity	Merck & Co Inc	--	--	77.65
MMM UN Equity	3M Co	--	--	143.44
AWK UN Equity	American Water Works Co Inc	--	--	153.18
BAC UN Equity	Bank of America Corp	--	--	41.88
PFE UN Equity	Pfizer Inc	--	--	52.105
PG UN Equity	Procter & Gamble Co/The	--	--	144.29
T UN Equity	AT&T Inc	--	--	23.115
TRV UN Equity	Travelers Cos Inc/The	--	--	176.81
RTX UN Equity	Raytheon Technologies Corp	--	--	96.5
ADI UW Equity	Analog Devices Inc	--	--	147.43
WMT UN Equity	Walmart Inc	--	--	142.46
CSCO UW Equity	Cisco Systems Inc/Delaware	--	--	54.825
INTC UW Equity	Intel Corp	--	--	45.41
GM UN Equity	General Motors Co	--	--	42.205
MSFT UW Equity	Microsoft Corp	--	--	284.73
DG UN Equity	Dollar General Corp	--	--	207.94
CI UN Equity	Cigna Corp	--	--	226.98
KMI UN Equity	Kinder Morgan Inc	--	--	17.6
C UN Equity	Citigroup Inc	--	--	54.88
AIG UN Equity	American International Group Inc	--	--	58.47
MO UN Equity	Altria Group Inc	--	--	49.81
HCA UN Equity	HCA Healthcare Inc	--	--	266.71
UAA UN Equity	Under Armour Inc	--	--	15.83
IP UN Equity	International Paper Co	--	--	42.65
HPE UN Equity	Hewlett Packard Enterprise Co	--	--	16.51
ABT UN Equity	Abbott Laboratories	--	--	116.19
AFL UN Equity	Aflac Inc	--	--	60.95
APD UN Equity	Air Products and Chemicals Inc	--	--	220.23
RCL UN Equity	Royal Caribbean Cruises Ltd	--	--	70.16
HES UN Equity	Hess Corp	--	--	92.96
ADM UN Equity	Archer-Daniels-Midland Co	--	--	81.75
ADP UW Equity	Automatic Data Processing Inc	--	--	208.67
VRSK UW Equity	Verisk Analytics Inc	--	--	183.33
AZO UN Equity	AutoZone Inc	--	--	1884.59
AVY UN Equity	Avery Dennison Corp	--	--	168.52
ENPH UQ Equity	Enphase Energy Inc	--	--	169.12
MSCI UN Equity	MSCI Inc	--	--	459.62
BLL UN Equity	Ball Corp	--	--	88.7
CDAY UN Equity	Ceridian HCM Holding Inc	--	--	62.5
CARR UN Equity	Carrier Global Corp	--	--	43.63
BK UN Equity	Bank of New York Mellon Corp/The	--	--	51.24
OTIS UN Equity	Otis Worldwide Corp	--	--	72.83
BAX UN Equity	Baxter International Inc	--	--	78.46
BDX UN Equity	Becton Dickinson and Co	--	--	258
